"","x"
"2499",5
"2500",4
"2501",6
"2502",4
"2503",7
"2504",4
"2505",1
"2506",7
"2507",3
"2508",7
"2509",8
"2510",1
"2511",5
"2512",6
"2513",5
"2514",5
"2515",1
"2516",3
"2517",5
"2518",8
"2519",3
"2520",4
"2521",6
"2522",6
"2523",3
"2524",1
"2525",3
"2526",3
"2527",7
"2528",1
"2529",3
"2530",6
"2531",4
"2532",1
"2533",8
"2534",1
"2535",3
"2536",4
"2537",7
"2538",3
"2539",4
"2540",8
"2541",6
"2542",5
"2543",6
"2544",6
"2545",3
"2546",7
"2547",4
"2548",7
"2549",7
"2550",6
"2551",7
"2552",4
"2553",7
"2554",5
"2555",6
"2556",7
"2557",4
"2558",6
"2559",1
"2560",4
"2561",8
"2562",1
"2563",1
"2564",7
"2565",5
"2566",6
"2567",7
"2568",7
"2569",6
"2570",4
"2571",4
"2572",5
"2573",5
"2574",6
"2575",7
"2576",6
"2577",7
"2578",1
"2579",4
"2580",5
"2581",8
"2582",1
"2583",1
"2584",6
"2585",8
"2586",8
"2587",5
"2588",8
"2589",4
"2590",4
"2591",4
"2592",1
"2593",5
"2594",5
"2595",4
"2596",5
"2597",1
"2598",1
"2599",5
"2600",5
"2601",6
"2602",7
"2603",1
"2604",6
"2605",7
"2606",6
"2607",4
"2608",1
"2609",6
"2610",7
"2611",5
"2612",7
"2613",5
"2614",1
"2615",3
"2616",4
"2617",1
"2618",6
"2619",3
"2620",3
"2621",3
"2622",5
"2623",5
"2624",7
"2625",8
"2626",6
"2627",1
"2628",7
"2629",6
"2630",1
"2631",1
"2632",1
"2633",1
"2634",8
"2635",7
"2636",8
"2637",7
"2638",5
"2639",1
"2640",4
"2641",5
"2642",4
"2643",7
"2644",5
"2645",5
"2646",3
"2647",1
"2648",8
"2649",5
"2650",5
"2651",3
"2652",7
"2653",5
"2654",5
"2655",8
"2656",5
"2657",8
"2658",6
"2659",7
"2660",7
"2661",3
"2662",7
"2663",4
"2664",5
"2665",4
"2666",1
"2667",8
"2668",7
"2669",4
"2670",4
"2671",6
"2672",4
"2673",5
"2674",7
"2675",4
"2676",3
"2677",6
"2678",1
"2679",7
"2680",8
"2681",8
"2682",4
"2683",6
"2684",3
"2685",6
"2686",7
"2687",5
"2688",5
"2689",8
"2690",4
"2691",5
"2692",7
"2693",7
"2694",6
"2695",7
"2696",8
"2697",7
"2698",5
"2699",7
"2700",7
"2701",3
"2702",5
"2703",8
"2704",7
"2705",6
"2706",7
"2707",1
"2708",1
"2709",4
"2710",7
"2711",5
"2712",4
"2713",8
"2714",6
"2715",8
"2716",1
"2717",6
"2718",6
"2719",1
"2720",7
"2721",1
"2722",4
"2723",6
"2724",8
"2725",6
"2726",6
"2727",4
"2728",7
"2729",4
"2730",1
"2731",3
"2732",5
"2733",1
"2734",4
"2735",5
"2736",1
"2737",5
"2738",6
"2739",4
"2740",5
"2741",8
"2742",1
"2743",1
"2744",6
"2745",6
"2746",5
"2747",1
"2748",1
"2749",5
"2750",6
"2751",6
"2752",6
"2753",4
"2754",3
"2755",4
"2756",4
"2757",8
"2758",7
"2759",3
"2760",5
"2761",6
"2762",7
"2763",7
"2764",7
"2765",7
"2766",5
"2767",1
"2768",6
"2769",1
"2770",6
"2771",7
"2772",1
"2773",7
"2774",7
"2775",7
"2776",6
"2777",7
"2778",1
"2779",6
"2780",1
"2781",7
"2782",7
"2783",7
"2784",7
"2785",7
"2786",7
"2787",7
"2788",1
"2789",7
"2790",4
"2791",8
"2792",1
"2793",5
"2794",4
"2795",1
"2796",6
"2797",7
"2798",1
"2799",1
"2800",5
"2801",5
"2802",8
"2803",1
"2804",1
"2805",1
"2806",4
"2807",5
"2808",8
"2809",5
"2810",6
"2811",1
"2812",4
"2813",5
"2814",5
"2815",4
"2816",6
"2817",5
"2818",5
"2819",4
"2820",7
"2821",6
"2822",4
"2823",7
"2824",1
"2825",6
"2826",4
"2827",1
"2828",5
"2829",6
"2830",4
"2831",3
"2832",5
"2833",5
"2834",4
"2835",5
"2836",7
"2837",7
"2838",1
"2839",1
"2840",7
"2841",7
"2842",4
"2843",5
"2844",8
"2845",1
"2846",1
"2847",4
"2848",6
"2849",5
"2850",6
"2851",6
"2852",5
"2853",5
"2854",5
"2855",7
"2856",7
"2857",1
"2858",4
"2859",1
"2860",7
"2861",7
"2862",3
"2863",6
"2864",7
"2865",1
"2866",4
"2867",8
"2868",7
"2869",8
"2870",4
"2871",6
"2872",6
"2873",6
"2874",6
"2875",7
"2876",6
"2877",8
"2878",7
"2879",4
"2880",1
"2881",4
"2882",5
"2883",1
"2884",1
"2885",1
"2886",6
"2887",4
"2888",4
"2889",8
"2890",4
"2891",4
"2892",4
"2893",1
"2894",5
"2895",6
"2896",1
"2897",7
"2898",7
"2899",6
"2900",6
"2901",5
"2902",5
"2903",7
"2904",5
"2905",1
"2906",1
"2907",6
"2908",4
"2909",4
"2910",6
"2911",3
"2912",7
"2913",3
"2914",7
"2915",5
"2916",7
"2917",7
"2918",7
"2919",4
"2920",1
"2921",1
"2922",6
"2923",5
"2924",1
"2925",1
"2926",6
"2927",1
"2928",7
"2929",7
"2930",6
"2931",8
"2932",1
"2933",7
"2934",8
"2935",5
"2936",6
"2937",8
"2938",5
"2939",5
"2940",7
"2941",5
"2942",1
"2943",8
"2944",1
"2945",7
"2946",5
"2947",7
"2948",1
"2949",7
"2950",6
"2951",8
"2952",4
"2953",8
"2954",4
"2955",7
"2956",3
"2957",4
"2958",3
"2959",1
"2960",1
"2961",5
"2962",7
"2963",6
"2964",7
"2965",6
"2966",1
"2967",7
"2968",1
"2969",5
"2970",7
"2971",4
"2972",3
"2973",3
"2974",4
"2975",4
"2976",7
"2977",7
"2978",1
"2979",8
"2980",6
"2981",4
"2982",7
"2983",7
"2984",5
"2985",1
"2986",1
"2987",8
"2988",6
"2989",7
"2990",4
"2991",6
"2992",1
"2993",6
"2994",6
"2995",8
"2996",6
"2997",7
"2998",5
"2999",7
"3000",5
"3001",7
"3002",3
"3003",7
"3004",5
"3005",7
"3006",8
"3007",7
"3008",7
"3009",1
"3010",3
"3011",4
"3012",4
"3013",7
"3014",8
"3015",8
"3016",4
"3017",7
"3018",7
"3019",7
"3020",7
"3021",3
"3022",5
"3023",5
"3024",4
"3025",1
"3026",5
"3027",6
"3028",8
"3029",5
"3030",8
"3031",4
"3032",1
"3033",3
"3034",5
"3035",5
"3036",5
"3037",5
"3038",5
"3039",5
"3040",4
"3041",5
"3042",7
"3043",8
"3044",6
"3045",8
"3046",4
"3047",7
"3048",4
"3049",4
"3050",5
"3051",7
"3052",1
"3053",5
"3054",7
"3055",1
"3056",7
"3057",6
"3058",6
"3059",4
"3060",4
"3061",7
"3062",8
"3063",6
"3064",6
"3065",7
"3066",6
"3067",7
"3068",5
"3069",4
"3070",1
"3071",1
"3072",7
"3073",1
"3074",4
"3075",7
"3076",5
"3077",8
"3078",4
"3079",3
"3080",3
"3081",1
"3082",6
"3083",5
"3084",3
"3085",4
"3086",5
"3087",6
"3088",5
"3089",7
"3090",4
"3091",5
"3092",6
"3093",5
"3094",4
"3095",5
"3096",5
"3097",7
"3098",7
"3099",1
"3100",4
"3101",7
"3102",8
"3103",4
"3104",4
"3105",5
"3106",5
"3107",3
"3108",5
"3109",4
"3110",1
"3111",4
"3112",8
"3113",8
"3114",5
"3115",8
"3116",6
"3117",7
"3118",4
"3119",1
"3120",6
"3121",6
"3122",5
"3123",5
"3124",8
"3125",7
"3126",8
"3127",7
"3128",6
"3129",1
"3130",3
"3131",1
"3132",6
"3133",1
"3134",4
"3135",8
"3136",7
"3137",1
"3138",5
"3139",7
"3140",6
"3141",6
"3142",7
"3143",8
"3144",6
"3145",5
"3146",4
"3147",4
"3148",7
"3149",5
"3150",5
"3151",4
"3152",5
"3153",4
"3154",8
"3155",8
"3156",3
"3157",5
"3158",8
"3159",1
"3160",6
"3161",6
"3162",5
"3163",6
"3164",3
"3165",8
"3166",5
"3167",4
"3168",5
"3169",4
"3170",6
"3171",7
"3172",4
"3173",3
"3174",5
"3175",3
"3176",1
"3177",4
"3178",6
"3179",6
"3180",6
"3181",4
"3182",6
"3183",3
"3184",6
"3185",7
"3186",7
"3187",4
"3188",7
"3189",7
"3190",5
"3191",6
"3192",8
"3193",4
"3194",3
"3195",6
"3196",5
"3197",1
"3198",5
"3199",7
"3200",8
"3201",4
"3202",1
"3203",6
"3204",7
"3205",7
"3206",4
"3207",3
"3208",7
"3209",7
"3210",6
"3211",7
"3212",1
"3213",5
"3214",5
"3215",4
"3216",6
"3217",3
"3218",7
"3219",7
"3220",6
"3221",7
"3222",1
"3223",3
"3224",7
"3225",1
"3226",5
"3227",3
"3228",8
"3229",1
"3230",6
"3231",7
"3232",4
"3233",7
"3234",4
"3235",7
"3236",4
"3237",3
"3238",4
"3239",8
"3240",1
"3241",7
"3242",7
"3243",1
"3244",7
"3245",4
"3246",6
"3247",7
"3248",6
"3249",4
"3250",4
"3251",4
"3252",3
"3253",7
"3254",7
"3255",7
"3256",7
"3257",5
"3258",1
"3259",5
"3260",5
"3261",5
"3262",1
"3263",5
"3264",7
"3265",1
"3266",5
"3267",7
"3268",8
"3269",6
"3270",7
"3271",1
"3272",7
"3273",8
"3274",4
"3275",5
"3276",5
"3277",7
"3278",1
"3279",1
"3280",1
"3281",4
"3282",7
"3283",5
"3284",5
"3285",5
"3286",4
"3287",8
"3288",8
"3289",6
"3290",1
"3291",1
"3292",3
"3293",7
"3294",6
"3295",8
"3296",6
"3297",7
"3298",5
"3299",5
"3300",6
"3301",7
"3302",1
"3303",7
"3304",3
"3305",4
"3306",7
"3307",4
"3308",5
"3309",4
"3310",6
"3311",5
"3312",1
"3313",7
"3314",1
"3315",4
"3316",5
"3317",5
"3318",5
"3319",7
"3320",8
"3321",8
"3322",7
"3323",7
"3324",1
"3325",5
"3326",7
"3327",5
"3328",1
"3329",7
"3330",3
"3331",4
"3332",5
"3333",7
"3334",5
"3335",6
"3336",4
"3337",4
"3338",3
"3339",6
"3340",8
"3341",5
"3342",5
"3343",3
"3344",7
"3345",6
"3346",5
"3347",4
"3348",4
"3349",4
"3350",5
"3351",7
"3352",6
"3353",1
"3354",5
"3355",5
"3356",4
"3357",4
"3358",3
"3359",5
"3360",1
"3361",6
"3362",7
"3363",8
"3364",3
"3365",8
"3366",5
"3367",7
"3368",5
"3369",4
"3370",6
"3371",8
"3372",4
"3373",4
"3374",4
"3375",6
"3376",5
"3377",3
"3378",1
"3379",4
"3380",5
"3381",7
"3382",8
"3383",4
"3384",5
"3385",3
"3386",5
"3387",7
"3388",8
"3389",7
"3390",6
"3391",5
"3392",5
"3393",7
"3394",7
"3395",7
"3396",7
"3397",5
"3398",4
"3399",5
"3400",1
"3401",8
"3402",3
"3403",4
"3404",6
"3405",6
"3406",6
"3407",5
"3408",4
"3409",6
"3410",1
"3411",4
"3412",4
"3413",6
"3414",7
"3415",3
"3416",1
"3417",6
"3418",5
"3419",8
"3420",7
"3421",5
"3422",5
"3423",5
"3424",8
"3425",6
"3426",6
"3427",4
"3428",5
"3429",6
"3430",6
"3431",7
"3432",3
"3433",6
"3434",3
"3435",8
"3436",5
"3437",5
"3438",5
"3439",7
"3440",7
"3441",8
"3442",7
"3443",1
"3444",6
"3445",5
"3446",5
"3447",3
"3448",6
"3449",6
"3450",6
"3451",6
"3452",1
"3453",4
"3454",5
"3455",6
"3456",8
"3457",3
"3458",5
"3459",7
"3460",7
"3461",8
"3462",5
"3463",1
"3464",6
"3465",7
"3466",5
"3467",7
"3468",5
"3469",5
"3470",3
"3471",6
"3472",7
"3473",6
"3474",3
"3475",7
"3476",5
"3477",6
"3478",5
"3479",4
"3480",7
"3481",7
"3482",7
"3483",3
"3484",5
"3485",4
"3486",7
"3487",1
"3488",3
"3489",5
"3490",6
"3491",1
"3492",1
"3493",8
"3494",4
"3495",4
"3496",8
"3497",8
"3498",7
"3499",4
"3500",7
"3501",1
"3502",8
"3503",8
"3504",5
"3505",5
"3506",5
"3507",5
"3508",3
"3509",7
"3510",5
"3511",5
"3512",7
"3513",3
"3514",1
"3515",1
"3516",8
"3517",4
"3518",8
"3519",1
"3520",6
"3521",4
"3522",7
"3523",1
"3524",7
"3525",6
"3526",5
"3527",4
"3528",5
"3529",1
"3530",4
"3531",6
"3532",1
"3533",5
"3534",7
"3535",1
"3536",5
"3537",7
"3538",5
"3539",5
"3540",4
"3541",6
"3542",5
"3543",4
"3544",8
"3545",8
"3546",1
"3547",4
"3548",1
"3549",5
"3550",6
"3551",4
"3552",4
"3553",4
"3554",6
"3555",7
"3556",1
"3557",7
"3558",7
"3559",6
"3560",4
"3561",7
"3562",5
"3563",5
"3564",1
"3565",4
"3566",4
"3567",1
"3568",4
"3569",6
"3570",1
"3571",8
"3572",8
"3573",4
"3574",7
"3575",6
"3576",1
"3577",5
"3578",7
"3579",7
"3580",5
"3581",7
"3582",8
"3583",1
"3584",7
"3585",1
"3586",5
"3587",4
"3588",1
"3589",1
"3590",8
"3591",6
"3592",1
"3593",4
"3594",3
"3595",3
"3596",5
"3597",5
"3598",7
"3599",6
"3600",4
"3601",1
"3602",7
"3603",4
"3604",6
"3605",3
"3606",1
"3607",4
"3608",6
"3609",4
"3610",6
"3611",8
"3612",6
"3613",7
"3614",7
"3615",8
"3616",5
"3617",1
"3618",1
"3619",1
"3620",5
"3621",7
"3622",6
"3623",5
"3624",6
"3625",7
"3626",5
"3627",5
"3628",1
"3629",4
"3630",7
"3631",7
"3632",5
"3633",5
"3634",5
"3635",1
"3636",1
"3637",7
"3638",1
"3639",4
